ra dec stellar_mass r50_s11 r50_nsa bar_fraction B_T
164.9780819024068 43.14770352871104 10.007537841796875 5.19 4.867760579865396 0.039 0.97
210.79082573510922 3.980777633586349 10.472221374511719 4.71 4.559531481635456 0.268 0.09
147.24342749036822 13.984478394862192 10.188767433166504 5.41 4.86011677572461 0.086 0.45
5.566524873668047 -0.7568644949955857 10.802824020385742 7.94 6.60242774476346 0.947 0.26
197.01046445342013 53.93587665801403 10.825182914733887 5.63 5.032381543851888 0.703 0.35
126.46151645208805 49.131291355055026 10.29560661315918 5.78 5.747812301440215 0.036 0.78
157.4337835432951 27.254340111878733 10.541857719421387 10.93 10.051558134992748 0.027 0.09
156.44900794415884 13.749103676568552 10.271778106689453 6.4 5.270261576758672 0.207 0.06
161.4642689031071 9.72264013212232 10.2831449508667 6.25 4.818865792614068 0.094 0.14
151.6375636516124 53.61004678411044 10.618138313293457 3.67 2.927966142743786 0.03 0.59
257.949101594263 28.32423683345545 10.81393051147461 7.94 6.8792436563872394 0.405 0.19
220.71426002482352 8.75889508641635 10.822057723999023 4.75 4.293427115726869 0.022 0.47
331.29303546491235 0.3369725422268936 10.035085678100586 3.34 2.713029693444343 0.25 0.63
228.43881007097306 2.152188582458414 10.572480201721191 2.9 3.0269054061143676 0.162 0.55
128.22395929835042 3.8368518029860583 10.827750205993652 9.29 8.020550566341369 0.486 0.12
5.444340771103085 -0.7860301617395753 10.079937934875488 4.77 4.789432359420654 0.42 1.0
258.53762664647905 58.81836017515566 10.613591194152832 7.13 7.219632506959156 0.25 0.12
165.27686932132772 43.07610347548377 10.837486267089844 8.57 7.572289890796763 0.115 0.2
227.44006425641206 -0.7542072152143069 10.82898998260498 10.99 3.314537325486237 0.695 1.0
227.52237394612735 9.722985453445913 10.415125846862793 4.03 3.3993524746972237 0.865 0.37
196.3167652218924 25.957618848910695 10.177051544189453 4.21 4.760575157084499 0.071 1.0
178.42406542747375 46.21172248454512 10.316983222961426 3.47 3.4427581482279255 0.902 0.23
255.89611797571052 36.81633159698442 10.254768371582031 7.6 6.266894948432737 0.293 0.14
258.49894377234995 59.33842847853529 10.356056213378906 7.58 7.000904514439215 0.229 0.88
193.02863941281478 27.02634956866981 10.013702392578125 2.57 2.5491019515969437 0.097 0.03
211.98069172247494 29.872748828334725 10.633438110351562 9.29 7.578896636849883 0.921 0.4
216.47402814505358 4.642728175256971 10.688291549682617 5.5 4.432339924384444 0.119 0.34
152.57284832180434 54.55835002968422 10.643640518188477 5.21 4.809540987689453 0.85 0.36
125.73135688103399 13.622857077599418 10.437767028808594 6.54 5.6086916102610065 0.133 0.21
235.479775566723 28.122552664079716 10.222770690917969 3.18 2.8776114118618246 0.107 0.24
208.9813905424456 20.418513791076833 10.67636775970459 6.95 5.872376850539724 0.714 0.26
193.82097144456415 26.5568071899401 10.585909843444824 4.99 4.193253875498712 0.048 0.51
239.27559075862476 20.05316505238817 10.142709732055664 5.62 5.714640953399247 0.065 0.04
188.08378576634323 39.701966475831625 10.444925308227539 7.05 6.236252224165452 0.077 0.07
140.0028409269168 32.96975167053001 10.121063232421875 5.45 4.949564260521537 0.143 0.95
137.56000408030047 36.02671944202943 10.564167976379395 3.18 2.7608330814195496 0.536 0.66
209.5979940462608 42.61326190326485 10.155965805053711 3.72 3.4199114009182803 0.136 0.27
202.05830588666106 28.66925051368288 10.514260292053223 5.9 4.976658598377041 0.055 0.19
217.07667010762572 1.1295646869866216 10.301606178283691 7.15 6.76151772207793 0.676 0.16
194.1935501405104 7.796429954498086 10.408026695251465 7.29 7.371321736677084 0.067 0.95
235.3441201890779 28.22972384987132 10.357094764709473 8.23 7.508918665193918 0.083 0.06
250.04464375913597 26.102384163237566 10.471855163574219 6.23 6.03291111859685 0.103 0.34
211.36516855187395 17.52022473925442 10.176780700683594 5.49 4.722934176863671 0.36 0.0
218.04684439422687 4.439458400017611 10.3682279586792 5.09 4.381550980764734 0.306 0.36
211.12227315681275 23.332586676161725 10.32778549194336 4.47 3.8544520214643154 0.8 0.28
190.68809628972753 27.1175262261902 10.464401245117188 4.54 3.8410373974038796 1.0 0.29
