0-2Gyr 2-4Gyr 4-6Gyr 6-8Gyr 8-10Gyr 10-12Gyr total
-99.0 -99.0 0.463716491375505 0.23627569336175042 0.1600593174062525 0.14648663139039728 0.25656510155796436
-99.0 0.42538149623977073 0.194522797037589 0.08122875768693315 0.04724924614574584 0.06238562182231396 0.0800760895531924
0.4074866352805442 0.2095425278374803 0.10223684836703958 0.06330523950016081 0.042543377126857525 0.08725518302501545 0.0791817947215144
0.365241022742809 0.17319111891863367 0.08064838958486484 0.055731858126504066 0.04615418788696694 0.1087998910823038 0.0753673017991697
0.1308723584334151 0.07680175322231975 0.06247743925187761 0.04123009012457789 0.03997401148309669 0.10749563199693579 0.061388675604648044
0.09732770013169832 0.06509563186964723 0.0859645830049444 0.06666668000546823 0.05676586271876363 0.15408571632317347 0.07476737206687298
0.08799892060800475 0.0479281136326035 0.04665962002537858 0.03330462084114587 0.026521313541146504 0.08806987946869728 0.05556522204254038
0.06476118788584716 0.040855840759141636 0.0331532422294482 0.0239226061756484 0.022338238497640186 0.05355726786869168 0.041148284144599194
0.048648101353053246 0.03464910781268511 0.029911499317070576 0.02442885397645915 0.021465611467870925 0.06754038326994638 0.03936254708929023
0.04007129947900612 0.029578933943967756 0.026738260702944244 0.02925350394644447 0.026760138401839027 0.08799708172117418 0.03630589867181287
0.04292113310945631 0.0338611159576328 0.029927444378422322 0.03465958087883587 0.04036637872135606 0.10955129522868642 0.04327063638573477
0.06934732958881426 0.05072385787486582 0.03937730001334798 0.049272916273031826 0.06918968328174584 0.21944652996489133 0.06741775513136372
0.11429905504343506 0.05204539301794127 0.05139631563222758 0.07798546016839544 0.09007649317589242 0.18320566244936348 0.08182602632547178
0.16011662366285986 0.06861003458091683 0.07883997966179068 0.11946259843172305 0.1517689801041723 0.48390700960153904 0.10391038566393174
0.28307653762193435 0.12318035500010524 0.13264618706328854 0.15030180589270045 0.2329107694346297 -99.0 0.17120863694382027
-99.0 0.16689877848115134 0.12438466868585167 0.18168420914696068 0.4713789646458581 -99.0 0.20645212036952038
-99.0 0.2312418266272078 0.15754122406477322 0.20845488397223405 0.41991084659572114 -99.0 0.2522191230808064
