0-2Gyr 2-4Gyr 4-6Gyr 6-8Gyr 8-10Gyr 10-12Gyr
-99.0 -99.0 1.7299116998150303 2.7267289931878125 3.0884831138346325 2.5327291950583604
-99.0 -99.0 1.470580791304669 2.007994280162457 2.358249189752989 2.0963113142924232
0.6073193661818905 1.1254709076094027 1.4158412028472531 1.692589685583048 1.829136516836832 1.5417998354386429
0.31262252712661365 0.8224975411327815 1.217914226689115 1.5133097059502276 1.6336053875701504 1.3059188880996242
1.123472432724272 1.3166056407781772 1.4503011300503141 1.527540692368845 1.4890461423583972 0.9235739413436006
1.2119084517903644 1.3238039983424983 1.4456293564179576 1.5274186256866802 1.452211517141742 0.8693465081868901
1.391126535011825 1.3856626498268776 1.3457935019590357 1.3661490989386635 1.3140019004693393 0.5689509299401401
1.3384923146975574 1.3952094291022732 1.3232061286132515 1.343893480420662 1.2970568621891791 0.48601723762403815
1.2960784033773391 1.339982133561584 1.104123088981729 1.0990105497451248 1.0125350356647154 0.22404635924894656
1.1366963414814126 1.2451277725588668 0.9478598271391654 0.8459856845269886 0.695209068331696 -0.10977404552500669
1.0394289169036712 1.1802015148511744 0.8305079872665129 0.5884749727615466 0.4173631802580262 -0.36966752975838624
0.8051903101628648 1.1315002317131357 0.7180399088391827 0.3994348398368066 0.1699726158560333 -0.5851799506941662
0.5079070469365705 0.8944617866207478 0.5228844941568234 0.16710900940824036 -0.1724137196472224 -0.943763906811192
0.09212217165452508 0.6447675965178821 0.37895804081713713 0.061841374180124475 -0.36609215579482424 -1.3290660141567443
-0.42652956903243844 0.3145510429135685 0.20637209353334018 -0.16250068078826363 -0.7201690734625306 -99.0
-1.325105528626243 -0.12341326285051402 -0.1780792879532349 -0.4075065249172729 -1.343851667942622 -99.0
-99.0 -0.6044531584821975 -0.42610628746766377 -0.7148486023469642 -1.5554783621054833 -99.0
