0-2Gyr 2-4Gyr 4-6Gyr 6-8Gyr 8-10Gyr 10-12Gyr
-99.0 -99.0 0.11099247716921457 0.11255364311095983 0.12645382352727602 0.1464866313903973
-99.0 -99.0 0.03402794470922079 0.03422061478483442 0.037700107663803835 0.06238562182231396
0.03364541616435679 0.03322875775971933 0.03279023761520336 0.03461787890122969 0.04201447055385157 0.08725518302501549
0.03280204114918629 0.03289622463117511 0.033667464926380675 0.03714105753448947 0.04847430075453306 0.10879989108230381
0.025706018799733298 0.025300475189234502 0.026367321382166773 0.02858369220396154 0.039765627752415295 0.10749563199693588
0.03249604344847117 0.03455683280070519 0.03874595949870074 0.04283595894312743 0.05629697860376515 0.15408571632317328
0.022159565338711634 0.019055796492635384 0.019995693037744188 0.020868064544276182 0.026652312927569647 0.08806987946869725
0.01653927108008466 0.014895211890561384 0.014650254178554997 0.01564491343772775 0.020617228648436715 0.05355726786869172
0.015964415374072782 0.014966166387054782 0.014387240690614131 0.015948274327990532 0.020979480510146243 0.06754038326994632
0.015068579158360382 0.015272572855207063 0.01592052025665651 0.019690618905815877 0.026350073930650808 0.08799708172117414
0.018134362799971212 0.01918724822954477 0.019492615522937025 0.025639357688189413 0.0381397437565739 0.10955129522868638
0.028553236114173892 0.0305062837755421 0.02818495464836566 0.04070848009991897 0.06833867229116704 0.2194465299648915
0.03406633609685049 0.03327345414066776 0.038400385614314476 0.05733372458420585 0.08110092895332319 0.1832056624493636
0.044365555657905655 0.04554715686873628 0.0605187528248043 0.09345259830836262 0.14522035379425963 0.4839070096015394
0.07375785242663202 0.07595109519565671 0.09508983664656057 0.12714317814457674 0.23291076943462985 -99.0
0.08866398103360636 0.08869053113138119 0.1018219565966526 0.1696393409915358 0.47137896464585755 -99.0
-99.0 0.10806596716896007 0.12105862169748197 0.1885348961055656 0.41991084659572153 -99.0
